path,owner,group,mask,recursive
/datastore/nick,nick,nick,700,1
/datastore/nick,nick,nick,755,0
/datastore/nick/Image Library/,nick,www-data,750,1
/datastore/nick/Image Library/_temp-unorganized/,nick,nick,700,1
/datastore/nick/Video Library/,nick,plex,750,0
/datastore/nick/Video Library/Movies/,nick,plex,750,1
/datastore/nick/Video Library/TV Shows/,nick,plex,750,1
/datastore/nick/Music Library/,nick,audio,750,0
/datastore/nick/Music Library/!mpd-saved-playlists/,nick,audio,770,1
/datastore/nick/Music Library/Content/,nick,audio,750,1